ngram,count,z_score
classifications httpcopacacuk,1,-0.30412378896591885
httpcopacacuk text,1,-0.30412378896591885
text mode,1,-0.30412378896591885
mode academic,1,-0.30412378896591885
academic prose,2,-0.013400334805464332
prose unscripted,1,-0.30412378896591885
unscripted conversation,1,-0.30412378896591885
conversation imaginative,1,-0.30412378896591885
imaginative prose,1,-0.30412378896591885
prose newspapers,1,-0.30412378896591885
newspapers and,1,-0.30412378896591885
and periodicals,1,-0.30412378896591885
periodicals agegroup,1,-0.30412378896591885
agegroup respondent,1,-0.30412378896591885
respondent age,6,1.1494934818363538
age 014,1,-0.30412378896591885
014 respondent,1,-0.30412378896591885
age 1524,1,-0.30412378896591885
1524 respondent,1,-0.30412378896591885
age 2534,1,-0.30412378896591885
2534 respondent,1,-0.30412378896591885
age 3544,1,-0.30412378896591885
3544 respondent,1,-0.30412378896591885
age 4559,1,-0.30412378896591885
4559 respondent,1,-0.30412378896591885
age 60,1,-0.30412378896591885
60 social,1,-0.30412378896591885
social class,1,-0.30412378896591885
class unknown,1,-0.30412378896591885
unknown class,1,-0.30412378896591885
class ab,1,-0.30412378896591885
ab respondent,1,-0.30412378896591885
respondent c1,1,-0.30412378896591885
c1 respondent,1,-0.30412378896591885
respondent c2,1,-0.30412378896591885
c2 respondent,1,-0.30412378896591885
respondent de,1,-0.30412378896591885
de respondent,1,-0.30412378896591885
respondent sex,2,-0.013400334805464332
sex respondent,1,-0.30412378896591885
sex unknown,2,-0.013400334805464332
unknown male,1,-0.30412378896591885
male respondent,1,-0.30412378896591885
respondent female,1,-0.30412378896591885
female respondent,1,-0.30412378896591885
respondent region,1,-0.30412378896591885
region unknown,1,-0.30412378896591885
unknown south,1,-0.30412378896591885
south midlands,1,-0.30412378896591885
midlands north,1,-0.30412378896591885
north sex,1,-0.30412378896591885
sex of,1,-0.30412378896591885
of author,1,-0.30412378896591885
author author,1,-0.30412378896591885
author sex,4,0.5680465735154447
unknown author,1,-0.30412378896591885
sex male,1,-0.30412378896591885
male author,1,-0.30412378896591885
sex female,1,-0.30412378896591885
female author,1,-0.30412378896591885
sex mixed,1,-0.30412378896591885
mixed estimated,1,-0.30412378896591885
estimated circulation,1,-0.30412378896591885
circulation size,1,-0.30412378896591885
size unknown,1,-0.30412378896591885
unknown circulation,1,-0.30412378896591885
circulation low,1,-0.30412378896591885
low circulation,1,-0.30412378896591885
circulation medium,1,-0.30412378896591885
medium circulation,1,-0.30412378896591885
circulation high,1,-0.30412378896591885
high circulation,1,-0.30412378896591885
circulation written,1,-0.30412378896591885
written domain,1,-0.30412378896591885
domain imaginative,1,-0.30412378896591885
imaginative informative,1,-0.30412378896591885
informative natural,1,-0.30412378896591885
natural pure,1,-0.30412378896591885
pure science,1,-0.30412378896591885
science informative,3,0.2773231193549902
informative applied,1,-0.30412378896591885
applied science,1,-0.30412378896591885
informative social,1,-0.30412378896591885
social science,1,-0.30412378896591885
informative world,1,-0.30412378896591885
world affairs,1,-0.30412378896591885
affairs informative,1,-0.30412378896591885
informative commerce,1,-0.30412378896591885
commerce finance,1,-0.30412378896591885
finance informative,1,-0.30412378896591885
informative arts,1,-0.30412378896591885
arts informative,1,-0.30412378896591885
informative belief,1,-0.30412378896591885
belief thought,1,-0.30412378896591885
thought informative,1,-0.30412378896591885
informative leisure,1,-0.30412378896591885
leisure publication,1,-0.30412378896591885
publication date,1,-0.30412378896591885
date 19601974,1,-0.30412378896591885
19601974 19751984,1,-0.30412378896591885
19751984 19851993,1,-0.30412378896591885
19851993 unknown,1,-0.30412378896591885
unknown global,1,-0.30412378896591885
global attributes,1,-0.30412378896591885
attributes a,2,-0.013400334805464332
a name,2,-0.013400334805464332
name or,1,-0.30412378896591885
or number,1,-0.30412378896591885
number used,2,-0.013400334805464332
used to,7,1.4402169359968082
to label,1,-0.30412378896591885
label any,1,-0.30412378896591885
any element,1,-0.30412378896591885
element activity,1,-0.30412378896591885
activity contains,1,-0.30412378896591885
contains a,27,7.254686019205899
a brief,5,0.8587700276758993
brief informal,2,-0.013400334805464332
informal description,4,0.5680465735154447
description of,12,2.8938342067990805
of what,1,-0.30412378896591885
what a,1,-0.30412378896591885
a participant,2,-0.013400334805464332
participant in,2,-0.013400334805464332
in a,9,2.0216638443177173
a level,1,-0.30412378896591885
level of,3,0.2773231193549902
of spontaneity,1,-0.30412378896591885
spontaneity contains,1,-0.30412378896591885
a postal,1,-0.30412378896591885
postal or,1,-0.30412378896591885
or other,6,1.1494934818363538
other address,1,-0.30412378896591885
address for,1,-0.30412378896591885
for example,4,0.5680465735154447
example of,1,-0.30412378896591885
a specifies,1,-0.30412378896591885
specifies the,16,4.056728023440899
the age,1,-0.30412378896591885
age in,1,-0.30412378896591885
in years,1,-0.30412378896591885
years of,1,-0.30412378896591885
a recorded,1,-0.30412378896591885
recorded participant,1,-0.30412378896591885
participant at,1,-0.30412378896591885
the time,1,-0.30412378896591885
time of,1,-0.30412378896591885
the marks,1,-0.30412378896591885
marks an,1,-0.30412378896591885
an temporal,1,-0.30412378896591885
temporal alignment,1,-0.30412378896591885
alignment point,1,-0.30412378896591885
point within,1,-0.30412378896591885
within transcribed,1,-0.30412378896591885
transcribed speech,2,-0.013400334805464332
speech supplies,1,-0.30412378896591885
supplies an,4,0.5680465735154447
an arbitrary,1,-0.30412378896591885
arbitrary identifier,1,-0.30412378896591885
identifier all,1,-0.30412378896591885
all attribute,1,-0.30412378896591885
attribute definition,1,-0.30412378896591885
definition provides,1,-0.30412378896591885
provides the,2,-0.013400334805464332
the definition,1,-0.30412378896591885
definition for,1,-0.30412378896591885
for a,8,1.7309403901572629
a single,7,1.4402169359968082
single attribute,1,-0.30412378896591885
attribute namespace,1,-0.30412378896591885
namespace specifies,1,-0.30412378896591885
the namespace,11,2.603110752638626
namespace to,2,-0.013400334805464332
to which,5,0.8587700276758993
which this,2,-0.013400334805464332
this attribute,1,-0.30412378896591885
attribute belongs,1,-0.30412378896591885
belongs supplies,1,-0.30412378896591885
supplies a,18,4.6381749317618075
unique identifier,8,1.7309403901572629
identifier supplies,8,1.7309403901572629
supplies the,16,4.056728023440899
namespace within,8,1.7309403901572629
within which,10,2.3123872984781717
which the,12,2.8938342067990805
the identifier,9,2.0216638443177173
identifier is,8,1.7309403901572629
is to,10,2.3123872984781717
